0.238,1713.496,654.807,1625.000,0.082,0.170,2
0.023,542.496,866.049,62.500,0.825,0.088,2
0.066,581.109,879.278,62.500,0.811,0.107,2
0.047,557.417,799.382,125.000,0.822,0.080,2
0.043,483.974,741.546,187.500,0.858,0.070,2
0.043,508.878,802.748,31.250,0.851,0.076,2
0.066,803.182,986.620,93.750,0.712,0.147,2
0.078,656.279,932.589,93.750,0.800,0.107,2
0.105,805.387,1055.175,0.000,0.722,0.154,2
0.105,1711.166,1357.271,93.750,0.425,0.494,2
0.281,1689.647,1324.388,31.250,0.375,0.366,2
0.414,1776.125,1319.778,62.500,0.344,0.395,2
0.406,1725.099,1317.525,0.000,0.372,0.401,2
0.270,1491.741,1294.664,0.000,0.449,0.334,2
0.207,1331.773,1292.766,0.000,0.525,0.278,2
0.086,588.349,935.702,0.000,0.819,0.109,2
0.051,1337.621,1323.918,0.000,0.545,0.326,2
0.062,994.684,1101.265,437.500,0.696,0.195,2
0.051,804.131,933.171,93.750,0.726,0.133,2
0.031,544.567,686.947,187.500,0.836,0.053,2
0.027,389.461,702.938,0.000,0.881,0.045,2
0.000,334.822,689.547,0.000,0.902,0.047,2
0.109,1576.482,1263.305,0.000,0.424,0.394,2
0.016,405.287,703.669,31.250,0.895,0.054,2
0.004,427.451,803.727,0.000,0.861,0.072,2
0.133,867.656,629.994,656.250,0.642,0.047,2
0.172,836.068,573.178,156.250,0.642,0.035,2
0.133,673.200,813.077,156.250,0.787,0.075,2
0.094,679.963,931.523,156.250,0.781,0.112,2
0.176,1394.223,1328.317,62.500,0.502,0.322,2
0.094,1042.347,1291.651,0.000,0.642,0.239,2
0.129,917.390,810.855,687.500,0.735,0.106,2
0.156,776.274,635.595,750.000,0.766,0.053,2
0.098,740.305,691.347,125.000,0.764,0.057,2
0.066,609.967,856.342,0.000,0.798,0.096,2
0.484,1945.461,1136.564,1968.750,0.218,0.426,2
0.348,1904.431,1553.194,0.000,0.399,0.489,2
0.500,2320.208,1383.489,3843.750,0.249,0.587,2
0.062,575.664,813.074,0.000,0.817,0.093,2
0.086,701.671,910.050,0.000,0.772,0.121,2
0.613,2465.053,1043.440,2968.750,0.131,0.768,2
0.199,854.836,939.691,156.250,0.713,0.129,2
0.086,738.159,769.606,156.250,0.772,0.070,2
0.055,707.599,853.544,156.250,0.792,0.092,2
0.125,760.088,1057.872,0.000,0.779,0.145,2
0.547,2462.200,1520.919,31.250,0.267,0.651,2
0.828,2913.971,1238.934,3750.000,0.134,0.768,2
0.340,1582.408,1406.218,437.500,0.498,0.358,2
0.051,652.662,858.503,93.750,0.789,0.097,2
0.066,947.011,1004.159,187.500,0.687,0.164,2
0.102,478.316,486.542,406.250,0.959,0.027,2
0.109,762.948,829.492,437.500,0.803,0.100,2
0.059,653.598,985.877,125.000,0.783,0.124,2
0.102,793.244,721.689,468.750,0.704,0.066,2
0.051,874.715,995.414,125.000,0.722,0.153,2
0.078,828.224,944.393,156.250,0.724,0.128,2
0.062,642.774,810.542,125.000,0.813,0.078,2
0.074,562.961,759.384,125.000,0.860,0.072,2
0.117,951.334,1106.373,406.250,0.724,0.224,2
0.074,1182.879,1295.523,156.250,0.641,0.304,2
0.031,697.795,1076.883,125.000,0.783,0.160,2
0.043,1110.259,1350.409,156.250,0.681,0.281,2
0.035,533.248,831.158,125.000,0.852,0.092,2
0.133,1048.138,1083.424,156.250,0.643,0.181,2
0.184,920.977,709.957,593.750,0.695,0.078,2
0.195,1055.777,891.414,718.750,0.626,0.133,2
0.066,548.056,690.554,125.000,0.829,0.054,2
0.035,1067.560,1063.425,0.000,0.568,0.177,2
0.070,769.157,957.087,31.250,0.752,0.118,2
0.043,460.865,694.709,156.250,0.885,0.058,2
0.105,708.763,792.689,156.250,0.800,0.087,2
0.113,894.217,911.223,0.000,0.689,0.151,2
0.090,1106.445,1277.928,31.250,0.646,0.252,2
0.059,703.610,953.248,93.750,0.780,0.128,2
0.062,601.227,807.978,125.000,0.834,0.090,2
0.055,467.565,730.493,93.750,0.872,0.067,2
0.074,748.367,965.214,93.750,0.763,0.131,2
0.070,488.536,722.943,125.000,0.878,0.065,2
0.0561,636.0096,0.7835,0.1013,29.0758,9.6439,8.5663,0.9616,-0.6548,1.1941,-1.3480,0.9864,10.6129,6.8217,5.0544,2.5471,4.2728,2.4009,2.6689,3.0004,1
0.2307,1343.5868,0.5251,0.3008,8.9431,12.6927,6.9302,3.1052,-6.0222,4.9628,-1.0812,0.0010,10.9187,4.3129,2.2812,2.2146,4.7082,3.6907,2.3795,2.2746,1
