0.098,881.02,881.263,437.5,0.762,0.126,2.0
0.062,694.555,878.732,250.0,0.778,0.11,2.0
0.09,749.205,847.229,31.25,0.734,0.108,2.0
0.074,724.094,933.651,0.0,0.767,0.123,2.0
0.086,846.675,881.784,93.75,0.624,0.113,2.0
0.074,705.507,954.881,0.0,0.733,0.12,2.0
0.035,628.375,863.932,93.75,0.781,0.1,2.0
0.121,894.91,890.496,0.0,0.58,0.118,2.0
0.059,821.197,872.664,93.75,0.702,0.105,2.0
0.074,883.321,929.212,93.75,0.69,0.137,2.0
0.168,1819.374,1394.027,31.25,0.379,0.567,2.0
0.121,572.866,817.253,156.25,0.818,0.084,2.0
0.098,777.622,855.76,93.75,0.732,0.1,2.0
0.141,1126.167,1025.758,156.25,0.586,0.205,2.0
0.195,982.892,984.604,0.0,0.597,0.14,2.0
0.098,883.305,1067.397,62.5,0.699,0.167,2.0
0.113,1075.341,1118.255,31.25,0.607,0.186,2.0
0.223,1130.481,834.558,656.25,0.496,0.114,2.0
0.305,1286.158,730.997,1500.0,0.391,0.182,2.0
0.203,1017.552,717.291,218.75,0.558,0.103,2.0
0.113,692.624,917.729,93.75,0.753,0.126,2.0
0.156,1017.917,1051.554,0.0,0.592,0.229,2.0
0.137,1045.342,980.308,93.75,0.577,0.21,2.0
0.172,934.229,652.143,750.0,0.671,0.096,2.0
0.219,1103.232,770.853,843.75,0.537,0.153,2.0
0.109,873.506,909.626,250.0,0.697,0.126,2.0
0.18,917.966,893.83,250.0,0.611,0.139,2.0
0.117,965.494,1061.166,562.5,0.68,0.193,2.0
0.18,918.726,1026.896,0.0,0.664,0.193,2.0
0.172,959.552,926.536,562.5,0.669,0.189,2.0
0.113,645.831,796.693,562.5,0.841,0.087,2.0
0.164,1018.723,1061.438,562.5,0.646,0.187,2.0
0.172,1134.995,886.379,531.25,0.55,0.191,2.0
0.203,1017.69,811.137,93.75,0.565,0.133,2.0
0.074,736.708,956.238,0.0,0.749,0.123,2.0
0.023,507.185,892.345,31.25,0.849,0.09,2.0
0.098,891.883,887.197,562.5,0.673,0.118,2.0
0.164,821.285,779.926,562.5,0.744,0.104,2.0
0.082,592.069,632.962,437.5,0.882,0.052,2.0
0.055,595.356,708.95,156.25,0.803,0.059,2.0
0.195,923.303,614.897,468.75,0.515,0.029,2.0
0.207,1001.543,681.08,531.25,0.488,0.037,2.0
0.07,640.054,673.302,187.5,0.752,0.025,2.0
0.062,721.37,951.75,187.5,0.769,0.131,2.0
0.059,634.63,898.129,250.0,0.803,0.102,2.0
0.09,649.623,662.682,500.0,0.793,0.047,2.0
0.07,634.442,691.471,93.75,0.788,0.06,2.0
0.086,897.977,916.445,375.0,0.655,0.138,2.0
0.297,1722.302,1109.132,468.75,0.348,0.565,2.0
0.309,1523.104,1210.786,406.25,0.462,0.452,2.0
0.07,755.772,927.58,93.75,0.739,0.133,2.0
0.078,994.914,1094.131,93.75,0.647,0.234,2.0
0.102,1420.607,1491.769,187.5,0.591,0.383,2.0
0.043,642.895,888.292,93.75,0.805,0.106,2.0
0.184,1201.973,843.475,562.5,0.516,0.17,2.0
0.195,1152.382,758.035,781.25,0.516,0.17,2.0
0.191,1079.132,672.198,750.0,0.535,0.107,2.0
0.266,1177.253,774.457,812.5,0.494,0.148,2.0
0.141,1005.86,918.932,93.75,0.621,0.172,2.0
0.074,725.452,899.174,125.0,0.797,0.113,2.0
0.215,1040.72,994.08,31.25,0.555,0.187,2.0
0.09,730.87,905.17,31.25,0.742,0.116,2.0
0.078,612.807,853.219,281.25,0.836,0.102,2.0
0.047,491.107,742.384,125.0,0.868,0.075,2.0
0.047,601.657,887.135,31.25,0.831,0.111,2.0
0.074,664.125,932.416,93.75,0.787,0.105,2.0
0.074,627.24,812.98,62.5,0.83,0.086,2.0
0.164,875.929,900.356,0.0,0.658,0.142,2.0
0.035,650.14,873.208,62.5,0.787,0.109,2.0
0.078,625.082,809.074,375.0,0.797,0.095,2.0
0.109,653.888,857.293,31.25,0.809,0.092,2.0
0.086,610.327,831.016,0.0,0.821,0.087,2.0
0.066,668.923,898.735,0.0,0.793,0.118,2.0
0.066,610.831,893.827,0.0,0.807,0.099,2.0
0.047,662.417,1017.748,0.0,0.781,0.136,2.0
0.047,677.492,1019.775,0.0,0.767,0.145,2.0
0.129,1420.481,1404.773,31.25,0.558,0.359,2.0
0.09,698.141,957.186,218.75,0.754,0.165,2.0
0.113,785.03,923.559,468.75,0.753,0.14,2.0
0.102,742.636,918.246,62.5,0.769,0.115,2.0
0.109,674.678,842.15,93.75,0.832,0.093,2.0
0.082,826.32,972.902,125.0,0.734,0.138,2.0
0.059,624.249,894.508,62.5,0.814,0.116,2.0
0.082,681.625,917.116,93.75,0.79,0.11,2.0
0.062,944.513,1037.582,125.0,0.643,0.175,2.0
0.168,1085.652,882.782,562.5,0.567,0.16,2.0
0.082,625.275,819.418,31.25,0.833,0.092,2.0
0.246,1072.735,830.986,1125.0,0.48,0.118,2.0
0.164,1080.448,877.042,468.75,0.555,0.164,2.0
0.168,1282.375,964.194,156.25,0.483,0.272,2.0
0.227,1232.803,691.516,1468.75,0.358,0.112,2.0
0.082,706.859,891.483,187.5,0.772,0.115,2.0
0.098,896.248,705.096,500.0,0.604,0.068,2.0
0.293,1367.996,782.2,1468.75,0.373,0.204,2.0
0.227,1274.111,753.978,718.75,0.432,0.231,2.0
0.102,973.578,885.655,125.0,0.586,0.167,2.0
0.188,1190.824,1075.975,156.25,0.557,0.313,2.0
0.176,946.435,731.091,656.25,0.66,0.144,2.0
0.18,1095.097,816.229,812.5,0.61,0.159,2.0
0.199,1206.544,807.944,718.75,0.487,0.191,2.0
0.125,1053.182,913.052,93.75,0.557,0.168,2.0
0.441,1818.71,1062.83,1531.25,0.247,0.382,2.0
0.418,1875.726,1353.829,93.75,0.329,0.462,2.0
0.082,816.975,1118.613,31.25,0.736,0.179,2.0
0.66,2261.155,1282.023,3750.0,0.218,0.611,2.0
0.176,1060.064,748.307,593.75,0.562,0.118,2.0
0.141,896.926,763.334,125.0,0.665,0.119,2.0
0.289,1297.111,1439.931,125.0,0.611,0.3,2.0
0.262,1502.261,1384.799,31.25,0.473,0.372,2.0
0.113,904.607,839.61,593.75,0.652,0.113,2.0
0.145,865.69,804.826,468.75,0.668,0.112,2.0
0.105,654.226,656.364,437.5,0.809,0.061,2.0
0.059,676.414,781.102,218.75,0.746,0.064,2.0
0.152,1066.0,840.755,531.25,0.527,0.103,2.0
0.066,809.91,865.607,406.25,0.714,0.115,2.0
0.125,925.784,849.361,531.25,0.666,0.117,2.0
0.09,800.475,903.986,406.25,0.716,0.119,2.0
0.094,898.098,829.836,531.25,0.665,0.094,2.0
0.418,1474.397,1129.17,2125.0,0.456,0.486,2.0
0.188,1191.124,1073.806,93.75,0.547,0.371,2.0
0.211,1061.9,1107.727,93.75,0.609,0.267,2.0
0.09,1105.902,1193.812,93.75,0.622,0.297,2.0
0.047,517.115,855.768,93.75,0.874,0.094,2.0
0.168,985.411,871.836,625.0,0.595,0.141,2.0
0.172,993.633,721.236,781.25,0.578,0.097,2.0
0.18,1091.635,773.568,781.25,0.528,0.111,2.0
0.148,871.473,761.876,93.75,0.656,0.112,2.0
0.109,1087.486,778.444,125.0,0.451,0.071,2.0
0.371,1363.219,850.863,1781.25,0.333,0.183,2.0
0.145,1196.15,1084.629,31.25,0.496,0.24,2.0
0.078,720.2,973.69,31.25,0.778,0.143,2.0
0.074,637.334,885.125,31.25,0.822,0.104,2.0
0.098,727.235,960.322,343.75,0.791,0.124,2.0
0.125,724.866,881.736,31.25,0.766,0.107,2.0
0.117,914.318,1187.638,62.5,0.681,0.179,2.0
0.012,617.885,966.038,0.0,0.783,0.118,2.0
0.066,1099.813,1385.176,0.0,0.649,0.273,2.0
0.008,737.004,1086.707,31.25,0.747,0.154,2.0
0.047,453.239,861.885,0.0,0.859,0.085,2.0
0.004,633.951,967.994,0.0,0.792,0.114,2.0
0.051,609.247,875.886,31.25,0.837,0.097,2.0
0.094,587.986,821.879,0.0,0.833,0.084,2.0
0.062,589.717,893.731,31.25,0.816,0.097,2.0
0.086,591.005,843.042,0.0,0.822,0.1,2.0
0.047,591.129,858.299,62.5,0.815,0.105,2.0
