0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.0813,740.6082,0.7261,0.1106,28.1183,2.3447,6.7607,0.2081,-1.8518,0.764,-0.9106,3.0552,6.6209,5.6195,5.5735,5.9215,4.956,2.4896,1.7207,1.9002,1.0
0.1161,920.2089,0.6697,0.1603,23.0983,4.2677,5.2427,-1.3369,-3.2205,1.2463,1.3423,1.5505,12.4071,7.4952,6.3631,4.7164,7.1489,3.0897,3.9505,2.4658,1.0
0.1682,970.2986,0.611,0.1434,25.5179,-8.7546,7.3746,-2.3711,0.369,3.5659,0.9592,4.633,9.1011,14.38,7.3593,3.9096,6.3527,3.1668,3.2869,3.1618,1.0
0.1404,909.3519,0.6801,0.1491,25.7123,-0.7952,0.9403,-5.6791,1.5822,0.8746,-1.1155,3.2206,6.0812,11.345,6.5027,5.9618,5.8621,2.885,3.5567,2.6402,1.0
0.1261,858.2029,0.7051,0.1361,27.9577,0.641,2.2963,-5.3468,-3.554,1.7169,-0.1029,5.8737,10.4529,10.1765,8.4647,5.7337,4.6118,4.1779,3.1561,3.6176,1.0
0.1062,772.1624,0.6949,0.0784,35.3672,-3.1443,8.8245,-0.0898,-7.1736,0.5217,2.4633,2.2552,7.2374,14.2212,6.5481,3.3789,9.1124,5.4734,6.4098,3.396,1.0
0.1523,1189.6493,0.5794,0.2926,15.2424,14.8971,7.8395,-9.8358,-2.2108,-2.5298,-4.6086,4.0414,9.9996,15.3821,6.056,7.6443,4.3517,5.3566,4.2414,3.6923,1.0
0.1651,992.0688,0.5933,0.1381,23.296,-12.7309,3.8301,-4.4108,2.8386,4.5969,-1.1181,5.5838,8.0162,15.5945,9.4215,3.6558,8.1347,4.2616,4.3972,4.6053,1.0
0.0781,680.8069,0.7844,0.1106,30.67,10.6932,7.8184,-4.6597,-4.8464,0.7628,-1.4323,2.3499,3.5421,5.5724,3.2083,3.8786,3.9618,4.055,3.2993,1.988,1.0
0.0809,751.5024,0.7581,0.1511,24.5606,13.4199,6.8872,-4.0642,-1.9901,0.68,-1.844,2.5968,7.3535,4.9938,5.0209,2.7162,4.0153,2.4074,4.5787,2.161,1.0
0.0941,781.9855,0.7415,0.1271,28.7312,5.6901,4.8009,-2.5956,-0.6888,5.5254,0.251,3.3152,5.4455,4.5189,4.9587,3.751,6.8327,2.9876,3.6398,2.593,1.0
0.1654,1032.4718,0.5644,0.1492,23.7366,-7.9488,7.7229,-4.2671,-3.9707,4.3191,0.5481,4.4959,9.3692,12.5963,5.7856,5.9328,5.1284,5.5015,3.3582,3.9893,1.0
0.1896,1141.436,0.5379,0.2009,21.4248,-11.4299,8.1848,-7.409,2.6879,5.3418,0.6773,6.6484,10.7765,12.1589,10.1432,4.537,6.8362,4.6319,4.5388,5.0684,1.0
0.2717,1381.7109,0.5046,0.3066,11.2828,2.3256,5.6238,-0.1505,-3.6414,7.8691,-3.1675,5.6827,17.7986,9.9354,5.4709,4.4815,4.8386,5.9158,2.1865,3.9124,1.0
0.1022,825.9974,0.6962,0.102,34.514,-0.8597,7.2067,-3.0614,-6.8959,0.0215,-0.5905,4.4938,7.0075,6.4125,7.6908,4.5943,6.8938,4.4393,5.596,5.0135,1.0
