0.0972,684.8969,0.8058,0.1044,36.0764,8.7978,0.2819,-3.8070,-1.4642,-2.5546,-0.6629,5.1087,8.8118,3.7208,5.1144,3.5992,2.4755,3.1306,2.3145,3.9188,1
0.0770,695.3745,0.7785,0.1087,33.3439,8.0394,2.6943,0.5029,-1.4136,0.4645,0.9076,4.5319,11.3666,5.9702,10.8205,3.1262,3.4087,3.2288,3.6071,2.1398,1
0.0634,619.7605,0.8231,0.0752,41.6777,9.4368,-7.4170,3.6218,2.1677,-2.7970,0.8610,2.7008,8.2068,4.3903,10.9225,2.3815,2.3965,3.4401,2.9825,2.5910,1
0.1347,964.3610,0.6871,0.1845,23.3258,8.2609,2.6900,-0.6891,-0.7234,4.0842,0.1943,1.1931,11.9208,7.2851,6.1470,6.2716,3.1729,4.3008,2.8391,3.2256,1
0.0726,743.5174,0.7669,0.1206,30.4594,6.7356,-0.9224,1.1953,0.3712,-0.0384,-0.0320,1.2426,16.0013,6.0177,9.1752,4.2694,4.8552,3.5188,2.3638,2.4753,1
0.1171,938.8987,0.6887,0.1765,24.8158,8.9218,4.9282,0.2664,-0.9753,3.6464,-0.0056,1.4584,12.7075,7.6481,5.1345,6.3424,2.8479,5.1045,3.3136,2.9580,1
0.0977,905.9469,0.7077,0.1738,23.4735,10.2388,3.7977,-1.3434,-0.1542,4.4449,0.2555,0.7362,10.5377,8.4980,5.8898,5.8717,2.7424,3.6093,3.9509,2.9915,1
0.0631,540.3899,0.8334,0.0863,33.8115,10.4147,11.2755,-4.8688,-2.9569,-1.1916,-5.1408,1.4189,5.8719,2.3653,4.1748,4.1745,3.3566,2.7528,2.6773,2.2317,1
0.0818,783.1280,0.7484,0.1480,24.4080,12.2150,5.1530,-0.9972,-3.6917,0.9997,-1.6703,0.8054,4.5266,4.4788,4.0100,3.3427,2.4693,2.0475,2.8426,2.9392,1
0.0548,618.9660,0.8001,0.0981,30.1942,6.6614,2.8365,-0.7633,-1.5036,-0.3167,-0.2341,2.9376,3.9803,5.4633,4.4025,3.2746,3.3771,2.8081,2.3147,3.9947,1
0.0907,810.9467,0.7364,0.1794,21.3533,15.5328,4.8509,-2.5537,-2.2895,-1.5121,1.0567,1.7530,13.6052,4.3261,4.6070,3.6599,3.8270,2.7174,3.1671,2.9518,1
0.1139,946.5905,0.6652,0.1924,17.9855,10.4930,7.8470,-2.7048,-2.9728,4.0510,-3.4748,0.7043,5.1983,4.2592,2.7337,3.6563,3.3858,4.2203,2.0488,2.5693,1
0.1128,951.0153,0.6364,0.1758,13.7403,7.9366,11.0795,-0.4052,-6.1645,5.8836,-0.9560,-2.6472,6.2958,4.4001,3.6188,2.0239,3.4464,2.4436,2.3407,2.4094,1
0.0950,763.7674,0.7625,0.1328,34.9439,9.5540,4.3194,0.1784,1.1234,1.8594,-1.5923,2.8943,13.0175,9.9796,10.6074,5.1104,4.2519,3.1302,4.8546,3.9601,1
0.0688,795.8212,0.7281,0.1312,26.5814,8.9723,7.0501,2.2829,-1.2946,5.9352,1.2755,1.2060,9.1659,5.4367,5.8774,4.3613,4.2302,4.5271,3.5421,2.3545,1
0.0774,720.9949,0.7672,0.1032,34.9607,2.6491,3.5615,-2.0626,0.8500,3.8501,1.9738,3.8461,10.3890,8.0085,8.8589,5.8404,4.4466,3.9707,2.3851,3.6488,1
0.1100,877.7862,0.7181,0.1825,23.0047,12.2908,5.8379,-1.9365,-1.9172,5.3439,0.7770,1.8370,13.3061,6.7576,4.0008,5.1541,3.6879,3.0377,3.5067,2.1540,1
0.1641,1057.1858,0.6762,0.2493,20.0516,22.0182,3.0648,4.2580,2.6050,-0.5040,0.3731,-1.0822,12.5708,8.1592,6.0247,3.6713,3.6561,3.2040,2.7058,2.9759,1
0.2804,1332.2087,0.5966,0.2996,19.7243,13.7389,-2.9662,6.7928,-3.3397,1.9379,0.7995,1.2169,19.9618,8.5537,6.9187,4.9213,4.4374,4.2322,2.9539,3.3181,1
0.0561,732.5750,0.7642,0.1684,18.8329,19.5982,5.5756,1.0850,2.8961,-0.8623,-1.9036,0.4388,8.1532,5.7960,3.5449,3.4880,3.2280,3.0436,2.6236,3.3523,1
